epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.3818671549359957,0.0503278321187411,0.8979166666666667,0.9928571428571429
2,0.03805100520451864,0.11266504373800541,0.9895833333333334,0.9785714285714285
3,0.03557185952862104,0.10976806538112993,0.9916666666666667,0.9785714285714285
4,0.010284126301606496,0.06739709205326758,0.996875,0.9857142857142858
5,0.013102494428555172,0.09593584599705147,0.996875,0.9857142874172755
6,0.034348393231630324,0.014167620436221893,0.9927083333333333,0.9928571428571429
7,0.04345372729003429,0.06957854425501345,0.9895833333333334,0.9785714302744184
8,0.009151637678345044,0.1208494434349372,0.996875,0.9785714319774083
9,0.038278055687745415,0.0981338476529345,0.9916666666666667,0.9785714302744184
10,0.03251510423918565,0.03388063752125683,0.99375,0.9928571445601327
11,0.022533966476718584,0.041095923610763356,0.99375,0.9857142891202654
12,0.028328964362541835,0.015131081645709596,0.99375,0.9928571428571429
13,0.015132105474670728,0.30162952723247666,0.9958333333333333,0.9500000034059797
14,0.033729561045765875,0.04786615824892319,0.9927083333333333,0.9857142874172755
15,0.007511108492811521,0.04037554090110851,0.996875,0.9928571428571429
16,0.005417949209610621,0.017217894710068193,0.9989583333333333,0.9928571428571429
17,0.0034405740598837534,0.051130145188653844,0.9989583333333333,0.9928571445601327
18,0.0002756297588348389,0.0497940541369774,1.0,0.9928571445601327
19,0.0047455033908287685,0.21944703392218798,0.9989583333333333,0.9714285714285714
20,0.0005765641729036967,0.08266576088915047,1.0,0.9928571428571429
21,9.038895368576049e-05,0.08387922152344669,1.0,0.9928571428571429
22,7.106078167756399e-05,0.08500980844130807,1.0,0.9928571428571429
23,0.0019485238939523698,0.12571476651106162,0.9989583333333333,0.9857142857142858
24,0.02085925874610742,0.06091681180821199,0.996875,0.9857142857142858
25,0.0031009773413340253,0.13524866402066046,0.9989583333333333,0.9785714285714285
26,0.0011767071982224783,0.03031188259025969,1.0,0.9857142891202654
27,9.405364592870076e-05,0.06658376066646139,1.0,0.9785714285714285
28,7.331843177477519e-05,0.040024739207001406,1.0,0.9857142891202654
29,0.00016192706922690074,0.07081656851847323,1.0,0.9785714285714285
30,0.004743800188104312,0.06660059368462368,0.9989583333333333,0.9857142891202654
31,0.00033939021329085033,0.06993385926595823,1.0,0.9785714302744184
32,0.003782569617033005,0.035954202648801066,0.9989583333333333,0.9928571445601327
33,7.02831894159317e-05,0.04532716934045311,1.0,0.9857142891202654
34,0.003064259762565295,0.03401800983452371,0.9989583333333333,0.9928571445601327
35,5.413865049680074e-05,0.02003445576618625,1.0,0.9928571445601327
36,0.000120801975329717,0.04296400114835706,1.0,0.9928571445601327
37,0.0017659525076548258,0.049352381841163154,0.9989583333333333,0.9857142891202654
38,0.0011486103137334188,0.03789115535785511,0.9989583333333333,0.9928571445601327
39,4.066688319047292e-05,0.036341558630478436,1.0,0.9928571445601327
40,4.4683615366617836e-05,0.036526474126731046,1.0,0.9928571445601327
41,4.36571737130483e-05,0.03662956327773697,1.0,0.9928571445601327
42,3.784261643886566e-05,0.03681098228906714,1.0,0.9928571445601327
43,0.0003422753264506658,0.033430387318159255,1.0,0.9928571445601327
44,0.0002062477171421051,0.040819099281673384,1.0,0.9928571445601327
45,4.4440478086471556e-05,0.04257831870386976,1.0,0.9928571445601327
46,3.5307556390762326e-05,0.042470923351148875,1.0,0.9928571445601327
47,0.0013367703805367151,0.04240514733495989,0.9989583333333333,0.9928571445601327
48,3.993672629197438e-05,0.04208816367068461,1.0,0.9928571445601327
49,5.114786326885223e-05,0.04209319848679505,1.0,0.9928571445601327
50,4.2893985907236734e-05,0.04215191943325668,1.0,0.9928571445601327
